name,isin,company_name
MARUTI,INE585B01010,Maruti Suzuki India Ltd.
SHOPERSTOP,INE498B01024,Shoppers Stop Ltd
HDFCBANK,INE040A01034,HDFC Bank Ltd.
IEX,INE022Q01020,Indian Energy Exchange Ltd.
PRAJIND,INE074A01025,Praj Industries Ltd.
LT,INE018A01030,Larsen & Toubro Ltd.
HAL,INE066F01020,Hindustan Aeronautics Ltd.
NATIONALUM,INE139A01034,National Aluminium Co. Ltd.
CAPLIPOINT,INE475E01026,Caplin Point Laboratories Ltd.
CUMMINSIND,INE298A01020,Cummins India Ltd.
LTFOODS,INE818H01020,LT Foods Ltd.
INTERARCH,INE00M901018,Interarch Building Solutions Ltd
KPIGREEN,INE542W01025,KPI Green Energy Ltd
BIOCON,INE376G01013,Biocon Ltd.
COFORGE,INE591G01025,Coforge Ltd.
WELCORP,INE191B01025,Welspun Corp Ltd.
TMPV,INE155A01022,Tata Motors Ltd.
ULTRACEMCO,INE481G01011,UltraTech Cement Ltd.
APOLLOHOSP,INE437A01024,Apollo Hospitals Enterprise Ltd.
SONACOMS,INE073K01018,Sona BLW Precision Forgings Ltd.
LAURUSLABS,INE947Q01028,Laurus Labs Ltd.
RELIANCE,INE002A01018,Reliance Industries Ltd.
JIOFIN,INE758E01017,Jio Financial Services Ltd.
ESCORTS,INE042A01014,Escorts Kubota Ltd.
TATAPOWER,INE245A01021,Tata Power Co. Ltd.
INDHOTEL,INE053A01029,Indian Hotels Co. Ltd.
CDSL,INE736A01011,Central Depository Services (India) Ltd.
ZYDUSLIFE,INE010B01027,Zydus Lifesciences Ltd.
SYNGENE,INE398R01022,Syngene International Ltd.
HCLTECH,INE860A01027,HCL Technologies Ltd.
BDL,INE171Z01026,Bharat Dynamics Ltd.
KAYNES,INE918Z01012,Kaynes Technology India Ltd.
SIEMENS,INE003A01024,Siemens Ltd.
NIFTYBEES,INF204KB14I2,NIP IND ETF NIFTY BEES
PIDILITIND,INE318A01026,Pidilite Industries Ltd.
TCS,INE467B01029,Tata Consultancy Services Ltd.
VBL,INE200M01039,Varun Beverages Ltd.
WPIL,INE765D01022,WPIL Ltd
MSUMI,INE0FS801015,Motherson Sumi Wiring India Ltd.
TITAN,INE280A01028,Titan Company Ltd.
TIMKEN,INE325A01013,Timken India Ltd.
BBL,INE464A01036,Bharat Bijlee Ltd-$
MANKIND,INE634S01028,Mankind Pharma Ltd.
TRENT,INE849A01020,Trent Ltd.
BALKRISIND,INE787D01026,Balkrishna Industries Ltd.
NEULANDLAB,INE794A01010,Neuland Laboratories Ltd.
ABBOTINDIA,INE358A01014,Abbott India Ltd.
BAJFINANCE,INE296A01032,Bajaj Finance Ltd.
UNITDSPR,INE854D01024,United Spirits Ltd.
ASIANPAINT,INE021A01026,Asian Paints Ltd.
ICICIBANK,INE090A01021,ICICI Bank Ltd.
KOTAKBANK,INE237A01028,Kotak Mahindra Bank Ltd.
ITC,INE154A01025,ITC Ltd.
ITCHOTELS,INE379A01028,ITC Hotels Ltd
DYNAMATECH,INE221B01012,Dynamatic Technologies Ltd-$
UNIVCABLES,INE279A01012,Universal Cables Ltd
HGINFRA,INE926X01010,H.G. Infra Engineering Ltd
CIPLA,INE059A01026,Cipla Ltd.
TATAELXSI,INE670A01012,Tata Elxsi Ltd.
3MINDIA,INE470A01017,3M India Ltd.
AMBER,INE371P01015,Amber Enterprises India Ltd.
MAPMYINDIA,INE0BV301023,C.E. Info Systems Ltd.
DRREDDY,INE089A01031,Dr. Reddy's Laboratories Ltd.
KIRLOSENG,INE146L01010,Kirloskar Oil Eng Ltd.
NH,INE410P01011,Narayana Hrudayalaya Ltd.
ARE&M,INE885A01032,Amara Raja Energy & Mobility Ltd.
MINDACORP,INE842C01021,Minda Corporation Ltd.
HINDUNILVR,INE030A01027,Hindustan Unilever Ltd.
TATACONSUM,INE192A01025,Tata Consumer Products Ltd.
STYLAMIND,INE239C01020,Stylam Industries Ltd
SCHAEFFLER,INE513A01022,Schaeffler India Ltd.
AUROPHARMA,INE406A01037,Aurobindo Pharma Ltd.
ASTRAMICRO,INE386C01029,Astra Microwave Products Ltd
SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Ltd.
MAZDOCK,INE249Z01020,Mazagoan Dock Shipbuilders Ltd.
ETERNAL,INE758T01015,Eternal Ltd.
ALIVUS,INE03Q201024,Alivus Life Sciences Ltd.
BEL,INE263A01024,Bharat Electronics Ltd.
GOLDIETF,INF109KC1NT3,ICICI PRUDENTIAL GOLD ETF
GOLD1,INF174KA1HJ8,KOTAK GOLD ETF
SBIN,INE062A01020,State Bank of India
AXISBANK,INE238A01034,Axis Bank Ltd.
GRASIM,INE047A01021,Grasim Industries Ltd.
NESTLEIND,INE239A01024,Nestle India Ltd.
ICICIGI ,INE765G01017,ICICI Lombard General Insurance Company Ltd.
MARICO,INE196A01026,Marico Ltd.
GMRAIRPORT,INE776C01039,GMR Airports Ltd.
IOC,INE242A01010,Indian Oil Corporation Ltd.
BHARATFORG,INE465A01025,Bharat Forge Ltd.
GODREJCP,INE102D01028,Godrej Consumer Products Ltd.
TATACOMM ,INE151A01013,Tata Communications Ltd.
BHEL,INE257A01026,Bharat Heavy Electricals Ltd.
ICICIPRULI,INE726G01019,ICICI Prudential Life Insurance Company Ltd.
VEDL,INE205A01025,Vedanta Ltd.
KICL,INE029L01018,KALYANI INVEST CO
PILANIINVS,INE417C01014,Pilani Investment and Industries Corporation Ltd
NSIL,INE023A01030,Nalwa Sons Investments Ltd
DECNGOLD,INE945F01025,Deccan Gold Mines Ltd
MYSORPETRO,INE741A01011,Mysore Petro Chemicals Ltd-$
DEN,INE947J01015,Den Networks Ltd
PGINVIT,INE0GGX23010,POWERGRID INFRA. INVITS
SCILAL,INE0PB301013,Shipping Corporation of India Land and Assets Ltd
AGOL,INE05FR01029,Ashapuri Gold Ornament Ltd
COMPEAU,INE823B01015,Competent Automobiles Company Ltd
MOSMALL250,INF247L01CH6,Motilal Oswal Midcap Select ETF
JUNIORBEES,INF732E01045,Nippon India ETF Junior BeES
AUTOBEES,INF204KC1337,Nippon India ETF Auto BeES
JAYBARMARU,INE571B01036,Jay Bharat Maruti Ltd
MACPLASQ,INE082B01018,Machino Plastics Ltd
SILVERBEES,INF204KC1402,Nippon India ETF Silver BeES
GMMPFAUDLR,INE541A01023,GMM Pfaudler Ltd
TINNARUBR,INE015C01016,Tinna Rubber and Infrastructure Ltd
GULFOILLUB,INE635Q01029,Gulf Oil Lubricants India Ltd
KEI,INE878B01027,KEI Industries Ltd
TCI,INE688A01022,TCI Express Ltd
SILVERIETF,INF109KC1Y56,ICICI Prudential Silver ETF
RBLBANK,INE976G01028,RBL Bank Ltd
TMCV,INE1TAE01010,Tata Motors Ltd – DVR
EMBASSY,INE041025011,Embassy Office Parks REIT
KRT,INE1JAR25012,Knowledge Realty Trust REIT
MINDSPACE,INE0CCU25019,Mindspace Business Parks REIT
JAMNAAUTO,INE039C01032,Jamna Auto Industries Ltd
